ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
321,0.006459331589092249,0,0.020187677118014224,0,0,0.0012447355541188058,3.5650193054859e-4,0.021299479748877623,0,0.0014743469670145078,6.646646162770322e-5,3.4441711934355307e-4,0,9.063608403777712e-5,0,0.008308307703462903,0,0,7.855127283274017e-5,0,0,0,0,0,0,0,0
322,3.6858674175362696e-4,0,0.0071300386109718,0,4.8339244820147796e-5,1.8731457367807271e-4,9.667848964029559e-5,0.0034562560046405674,1.3897532885792492e-4,1.8731457367807271e-4,0,4.8339244820147796e-5,6.646646162770322e-5,0,0,6.163253714568844e-4,0,0,0,0,0,0,0,2.4169622410073898e-5,0,0,0
323,0,0,0.010719227538867775,0,0,0.0015649830510522848,6.042405602518474e-4,0.005879260651250476,6.223677770594029e-4,7.069614554946615e-4,0,0,0,0,0.0022840293177519835,3.8671395856118237e-4,9.667848964029559e-5,0,4.2296839217629325e-5,0,0,0,0,4.2296839217629325e-5,0,0,0
324,5.377740986241442e-4,0,0.008187459591412533,0,0,0,3.987987697662193e-4,0.003679825011933751,0,0,0,0,0,0,1.0272089524281406e-4,3.1420509133096066e-4,6.646646162770322e-5,0,0,0,0,0,0,0,0,2.4169622410073898e-5,0
325,2.477386297032575e-4,0,0.006344525882644399,0,0,0,7.25088672302217e-5,0.002459259080225019,1.3897532885792492e-4,1.5106014006296186e-4,0,0,5.4381650422666274e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0424056025184745e-6
326,0.004386786467428413,0,0.008616470389191345,0,0,5.619437210342182e-4,0,0.007395904457482613,4.4109560898384866e-4,4.95477259406515e-4,0,0,9.667848964029559e-5,4.8339244820147796e-5,0,0.0012809899877339165,5.740285322392551e-4,0,5.4381650422666274e-5,0,0,0,0,0,0,0,0
327,7.311310779047354e-4,0,0.00570403088877744,0,0,3.5650193054859e-4,0,0.007468413324712835,1.7522976247303577e-4,0.001806679275153024,0,7.855127283274017e-5,6.646646162770322e-5,0,0,7.25088672302217e-4,0,0,3.625443361511085e-5,0,0,0,0,0,0,0,0
329,0.002978905962041608,0,0.005039366272500408,0,0,0,2.1148419608814663e-4,0.0142600772219436,2.356538184982205e-4,3.806715529586639e-4,0,0,0,0,1.5710254566548033e-4,4.8339244820147796e-4,1.9939938488310966e-4,0,0,0,3.0212028012592373e-5,0,0,0,0,6.0424056025184745e-5,0
330,0.0012507779597213243,0,0.003818800340791676,0,0,2.4169622410073898e-4,0,0.009438237551133858,2.2961141289570204e-4,2.356538184982205e-4,0,0,0,0,1.2084811205036949e-4,5.679861266367366e-4,0,0,0,0,0,0,0,0,0,3.0212028012592373e-5,0
331,0.0012809899877339165,0,0.007752406388031203,0,0,0.0012326507429137688,1.5710254566548033e-4,0.007625515870378315,4.1088358097125625e-4,3.383747137410346e-4,0,0,0,0,0,8.036399451349571e-4,0,0,0,0,0,0,0,0,0,0,0
332,0.0034441711934355304,0,0.008163289969002459,0,0,5.317316930216258e-4,1.6314495126799883e-4,0.008840039396484528,2.4169622410073898e-4,3.806715529586639e-4,0,0,0,7.25088672302217e-5,0,0.0019275273872033933,1.0876330084533255e-4,0,0,0,0,0,0,4.2296839217629325e-5,0,0,0
334,0.0010332513580306592,0,0.009311347033480969,0,0,3.2024749693347913e-4,2.0544179048562813e-4,0.01433862849477634,3.987987697662193e-4,0,0,0,0,2.2961141289570204e-4,1.5710254566548033e-4,5.075620706115519e-4,0,0,0,0,0,0,0,4.2296839217629325e-5,0,0,0
335,0,0,0.007262971534227207,0,0,4.4109560898384866e-4,1.8731457367807271e-4,0.00926905019426334,7.734279171223647e-4,0,0,0,0,0,3.806715529586639e-4,6.223677770594029e-4,0,0,0,0,0,0,0,3.0212028012592373e-5,0,0,0
336,0.004271980760980561,0,0.01595195079064877,0,0,0.0013474564493616199,3.383747137410346e-4,0.008568131144371197,5.98198154649329e-4,7.492582947122909e-4,5.4381650422666274e-5,0,0,0,0,0.0020302482824462076,1.691873568705173e-4,0,0,0,0,0,0,0,3.0212028012592373e-5,0,0
337,0.00455597382429893,6.646646162770322e-5,0.013831066424164788,0,2.5378103530577595e-4,0.0014562197502069525,3.2024749693347913e-4,0.02320887991927346,7.371734835072539e-4,0.004549931418696411,8.459367843525865e-5,0.0018489761143706531,2.2356900729318357e-4,1.0272089524281406e-4,4.350532033813302e-4,0.0024230046466099083,2.658658465108129e-4,0,0,0,0,0,0,7.25088672302217e-5,0,0,0
338,0.008350604542680532,0,0.013208698647105386,0,0,0.0013353716381565828,0,0.008586258361178753,4.531804201888856e-4,9.003184347752527e-4,6.646646162770322e-5,0,2.7190825211333136e-4,0,2.598234409082944e-4,0.0012809899877339165,1.3897532885792492e-4,0,0,3.2024749693347913e-4,0,0,0,0,0,0,0
339,4.290107977788117e-4,0,0.004978942216475223,0,0,2.5378103530577595e-4,0,0.003522722466268271,1.1480570644785102e-4,0,0,0,4.2296839217629325e-5,0,7.25088672302217e-5,0,0,0,0,0,0,0,0,0,0,0,0
340,0.0016072798902699143,0,0.007776576010441277,0,0,7.855127283274017e-4,2.175266016906651e-4,0.011534952295207767,0,3.383747137410346e-4,0,1.2084811205036949e-4,1.0876330084533255e-4,0,2.356538184982205e-4,0.0015589406454497665,0,0,0,0,0,0,0,0,0,0,0
382,7.1300386109718e-4,0,0.0021208843664839846,0,0,1.1480570644785102e-4,0,0.002126926772086503,9.667848964029559e-5,0,0,1.5710254566548033e-4,0,0,0,1.8127216807555424e-4,3.625443361511085e-5,0,0,0,0,0,0,0,0,0,0
383,0.0030695420460793853,0,0.00792763615050424,0,0,0,2.1148419608814663e-4,0.012169404883472209,4.048411753687378e-4,3.021202801259237e-4,0,0,0,0,0,6.404949938669583e-4,0,0,0,0,0,0,0,0,0,0,0
