net_id,frug_sp,ints,n_ind,n_plants_int,per.plants,net_code,type,ref,country,plant_sp,family.x,continent,bioregion,plot_rank1,plot_rank2,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,cols_bioregions1,cols_bioregions_d1,cols_bioregions2,cols_bioregions_d2,frug_sp_original,frug_sp_elton,family.y,bmass.elton,class,bmass
02_02,Turdus_merula,0.0738744061246092,35,27,0.7714285714285715,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Turdus merula,Turdus merula,Turdidae,102.73,bird,102.73
02_02,Erithacus_rubecula,0.12916328188464665,35,33,0.9428571428571428,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Erithacus rubecula,Erithacus rubecula,Muscicapidae,17.7,bird,17.7
02_02,Turdus_iliacus,0.005637200600644955,35,8,0.22857142857142856,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Turdus iliacus,Turdus iliacus,Turdidae,61.2,bird,61.2
02_02,Sylvia_melanocephala,0.005243335056495089,35,8,0.22857142857142856,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Sylvia melanocephala,Sylvia melanocephala,Sylviidae,11.7,bird,11.7
02_02,Sylvia_atricapilla,0.0013046796149964305,35,2,0.05714285714285714,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Sylvia atricapilla,Sylvia atricapilla,Sylviidae,16.7,bird,16.7
02_02,Oryctolagus_cuniculus,0.055141176180981216,35,28,0.8,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Oryctolagus cuniculus,Oryctolagus cuniculus,Leporidae,1832.22,mammal,1832.22
02_02,Gennetta_genetta,3.20015754621766e-4,35,1,0.02857142857142857,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Gennetta genetta,Genetta genetta,Viverridae,1800,mammal,1800
02_02,Meles_meles,2.2154936858429956e-4,35,1,0.02857142857142857,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Meles meles,Meles meles,Mustelidae,13000,mammal,13000
02_03,Turdus_philomelos,0.6373754723462728,35,35,1,ind_02_03,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Turdus philomelos,Turdus philomelos,Turdidae,67.74,bird,67.74
02_03,Vulpes_vulpes,0.02143593266918585,35,10,0.2857142857142857,ind_02_03,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Vulpes vulpes,Vulpes vulpes,Canidae,5476.17,mammal,5476.17
