ind,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d,net_id,net_n,ind_ID,mean.bray.overlap,mean.jaccard.overlap,eigen.centrality,tm.closeness,tm.w.closeness,tm.betweenness,tm.w.betweenness
MYDA28,1,0.14285714285714285,0.009167442713705403,-0.9908325572862946,0.9166666666666666,1,1,1,0.009167442713705403,1.2083333333333333,0,0,0.041586073500967116,0.007345125113125132,NA,-0,1,0.6283935763925674,0.28655492158086576,0,08_03,20,08_03_MYDA28,0.3964617144905802,0.3356619163156117,0.0246026129988176,0.02044579643039815,0.005490844254846028,0,0
MYDA32,5,0.7142857142857143,0.939872560676606,-0.012025487864678799,0,0.8148148148148148,0.4804583837764616,0.3333333333333333,0.939872560676606,1,0.2228915662650602,0.07586206896551724,0.046421663442940034,0.04796959139297392,NA,1.2648667490341143,3.5426206470335337,0.5838209128187214,1.01515538170145,0.0042038060858114595,08_03,20,08_03_MYDA32,0.29609239540476406,0.20060629104319938,0.17671248770497,0.03827024420501702,0.08949921538544792,48.84999999999999,124
MYDA33,1,0.14285714285714285,0.009167442713705403,-0.9908325572862946,0.9583333333333334,1,1,1,0.009167442713705403,1.2083333333333333,0,0,0.041586073500967116,0.007345125113125132,NA,-0,1,0.6283935763925674,0.28655492158086576,0,08_03,20,08_03_MYDA33,0.3964617144905802,0.3356619163156117,0.0246026129988176,0.02044579643039815,0.005490844254846028,0,0
PEMA01,4,0.19047619047619047,0.13699803398836916,-0.21575049150290773,0.6774193548387096,0.9454545454545455,0.6007242006257043,0.85,0.13699803398836916,1.096774193548387,0.0055681818181818185,0,0.031118143459915613,0.01178303815619376,NA,1.0686175394975,2.9113518876174465,0.3324738301076961,0.3845338659878697,0.00462648730048955,08_04,21,08_04_PEMA01,0.2968573282583735,0.20449020887419167,0.0160776006149668,0.021517952319397717,0.010130524996743965,0,0
PEMA02,5,0.23809523809523808,0.13225888824240828,-0.17354822235151837,0.6129032258064516,0.9538461538461538,0.5756387756223514,0.8,0.13225888824240828,1,0.1046392777818303,0,0.032700421940928266,0.012520981356339477,NA,1.2293437683631225,3.418985153728905,0.419553845566583,0.4515825051963836,0,08_04,21,08_04_PEMA02,0.3194092856580054,0.2154551812050035,0.021414387956858,0.02386830604201769,0.010397375502456924,6.866666666666666,0
PEMA03,3,0.14285714285714285,0.1368583627066426,-0.28771387909778584,0.8064516129032258,0.975,0.6892024376045112,0.9,0.1368583627066426,1.1290322580645162,0.07425889328063241,0,0.030590717299578057,0.003169091039210168,NA,0.8675632284814613,2.381101577952299,0.13892610434276134,0.3144979481779932,0.3645547612243629,08_04,21,08_04_PEMA03,0.11461798904270648,0.08026341898084599,7.44079145596889e-4,0.019514018833020612,0.0063743586614948295,0,0
PEMA04,2,0.09523809523809523,0.04441992359727401,-0.47779003820136295,0.9354838709677419,0.9875,0.8148619514985345,0.95,0.04441992359727401,1.1935483870967742,0,0,0.02953586497890295,0.003151032296678489,NA,0.5004024235381879,1.6493848884661177,0.1268919415755846,0.21785217732058215,0.18607023604530745,08_04,21,08_04_PEMA04,0.15044790650102324,0.10279794057235903,0.00271122173358317,0.013301426702866246,0.0027310881515589503,0,0
PEMA05,5,0.23809523809523808,0.5991202332637838,-0.08017595334724323,0.5806451612903226,0.9526315789473685,0.5850742743456557,0.8,0.5991202332637838,1.096774193548387,0.0055681818181818185,0,0.031118143459915613,0.030182346809083226,NA,1.1710143544648486,3.225262539285946,0.40638770513687295,0.4259954553526799,0,08_04,21,08_04_PEMA05,0.2772004232050934,0.18606482467214203,0.051775743217525,0.028621081485151512,0.03351287532440722,0.14285714285714285,0
PEMA06,3,0.14285714285714285,0.0644556803043557,-0.3118481065652148,0.7096774193548387,0.9724999999999999,0.6927602423507673,0.9,0.0644556803043557,1.096774193548387,0.0055681818181818185,0,0.031118143459915613,0.015672190954228463,NA,0.8186336229294789,2.26739959714681,0.4291105264633135,0.29948009257779157,0,08_04,21,08_04_PEMA06,0.2616325040531403,0.17567495039551717,0.0357200273131033,0.016752802625404326,0.0151891323118486,0,0
PEMA07,3,0.14285714285714285,0.06590296309114396,-0.3113656789696187,0.7741935483870968,0.9400000000000001,0.5835202376684078,0.9,0.06590296309114396,1.096774193548387,0.0055681818181818185,0,0.031118143459915613,0.0051604004306586996,NA,1.0361987848192837,2.818482965826066,0.32029959105848566,0.37226765877380824,0.03764151389531124,08_04,21,08_04_PEMA07,0.22375305618299246,0.15003412404834504,0.0060970096381708,0.016533908546411052,0.004341781997685457,0,0
PEMA08,4,0.19047619047619047,0.1310819766316861,-0.21722950584207848,0.6451612903225806,0.9815789473684211,0.732891654690373,0.85,0.1310819766316861,1.032258064516129,0.020548368690921217,0,0.03217299578059072,0.013677720208328753,NA,0.8729901460058482,2.394058746775727,0.3605212977695733,0.3162093422012034,0,08_04,21,08_04_PEMA08,0.29594763021970893,0.20047234470404762,0.0279841557615951,0.020255688670941616,0.011174851541957147,0.6666666666666667,0
PEMA09,13,0.6190476190476191,2.9860505668850426,0.15277312052961864,0,0.85,0.35638658769292725,0.4,2.9860505668850426,1.032258064516129,0.020548368690921217,0.09671848013816926,0.03217299578059072,0.06364262947121223,NA,2.0153541791076353,7.503384452645271,0.81403144000997,0.9910534840672247,0,08_04,21,08_04_PEMA09,0.2800593343046308,0.188385355666305,0.416500536579863,0.034784966744164106,0.06999849737736376,84.7095238095238,78
PEMA10,7,0.3333333333333333,0.6777516313110546,-0.0460354812412779,0.3870967741935484,0.93,0.5013869652163774,0.7,0.6777516313110546,1.032258064516129,0.020548368690921217,0,0.03217299578059072,0.018847354938603834,NA,1.4914254055662608,4.443424689400215,0.4614295037677743,0.5868913618131245,0,08_04,21,08_04_PEMA10,0.31268992992578126,0.20934964297727487,0.0374151322919451,0.028663088289852763,0.02817760883888945,0.3,0
PEMA11,7,0.3333333333333333,0.3186523251582768,-0.09733538212024616,0.41935483870967744,0.9423076923076923,0.5261042808091513,0.7,0.3186523251582768,1.032258064516129,0.020548368690921217,0,0.03217299578059072,0.012726878220823374,NA,1.4481879850795452,4.2553966825853475,0.5755868063253782,0.5620564606519032,0,08_04,21,08_04_PEMA11,0.3143448362555773,0.20843834781926418,0.0485388148716677,0.029213849093449554,0.014157092677387774,0,0
PEMA12,6,0.2857142857142857,0.17473934456009652,-0.13754344257331724,0.5483870967741935,0.9111111111111111,0.5040634880647477,0.75,0.17473934456009652,1.032258064516129,0.020548368690921217,0,0.03217299578059072,0.013629708623699369,NA,1.4150670314069402,4.116762409101049,0.6518990699743106,0.5437455263508751,0,08_04,21,08_04_PEMA12,0.35339113077421536,0.23618691316372986,0.044107098500663,0.026840252686754523,0.013372267022604998,0.3333333333333333,0
PEMA13,6,0.2857142857142857,0.19095963450935083,-0.1348400609151082,0.4838709677419355,0.9901639344262294,0.833187577169892,0.75,0.19095963450935083,1.032258064516129,0.020548368690921217,0,0.03217299578059072,0.031882729087289646,NA,0.6497612066404587,1.9150834651938922,0.46058135440835846,0.25294587428354814,0,08_04,21,08_04_PEMA13,0.29647864418016245,0.20191335099037278,0.197091770524635,0.027269942483522217,0.029460576244709442,1.2666666666666666,0
PEMA14,11,0.5238095238095238,1.4242981468212883,0.03857255880193528,0.06451612903225806,0.9261904761904761,0.4835432788945604,0.5,1.4242981468212883,1.032258064516129,0.020548368690921217,0,0.03217299578059072,0.04974831526392904,NA,1.6407462726989814,5.159018110373529,0.6554372201525477,0.6814075574721602,0,08_04,21,08_04_PEMA14,0.27676373826460443,0.1851787422851745,0.305967168247034,0.033254402577547776,0.06015775072242304,22.20952380952381,2
PEMA15,9,0.42857142857142855,0.7048734314084018,-0.03279184095462202,0.12903225806451613,0.9879310344827585,0.8031265762342219,0.6,0.7048734314084018,1.032258064516129,0.020548368690921217,0.37305699481865284,0.03217299578059072,0.07358141662000692,NA,0.7637564082605987,2.1463235640460896,0.5022027774596046,0.2834882657963177,0,08_04,21,08_04_PEMA15,0.22543094749819692,0.14654404461055437,0.755435214956422,0.0316096567982396,0.07584424553389961,8.109523809523811,252
